,ticker,name,subcategory
0,SEKUSD Curncy,SEK-USD X-RATE,DM FX
1,BCOMRLH Index,BBGRollLnHogs,Agriculture
2,I05510Y Index,GBP Swap Rate 0 Cpn Yld 10,Nominal Swap
3,EURUSD Curncy,EUR-USD X-RATE,DM FX
4,USSWAP1 Curncy,USD SWAP SEMI 30/360 1YR,Currency SWAP
5,NTNI3M Curncy,TWD NDF IMPLIED YLD 3 MO,EM FX
6,NOKJPY Curncy,NOK-JPY X-RATE,DM FX
7,EUSA1 Curncy,EUR SWAP ANN (VS 6M) 1Y,Currency SWAP
8,I07210Y Index,CAD Canada Swap 0 Cpn Yld10,Nominal Swap
9,I07220Y Index,CAD Canada Swap 0 Cpn Yld20,Nominal Swap
10,M1WDQU Index,MSCI ACWI Quality Net $,Equity Factor
11,CDSW9 Index,CAD SWAP SA (VS 3M ) 9Y,Currency SWAP
12,NO1 A:00_0_R Curncy,NOK Future,DM FX
13,I05603Y Index,JPY Japan Swap Rate 0 Cpn3,Nominal Swap
14,CADJPYCR Curncy,CAD-JPY Carry Return,DM FX
15,EUR006M Index,Euribor 6 Month ACT/360,Nominal Bond
16,PPP SZ Index,OECD PPP - Switzerland,OECD PPP
17,BCOMRGO Index,BCOMRS GO ER,Energy
18,F10504Y Index,JPY Japan Sovereign 4,Nominal Bond
19,PHPUSD Curncy,PHP-USD X-RATE,EM FX
20,BCOMCT6 Index,BBGCottonSub6Mfwd,Agriculture
21,F11001Y Index,GBP UK Gilts 0 Coupon 1,Nominal Bond
22,I05208Y Index,USD Swap Rate 0 Cpn Yld 8,Nominal Swap
23,RUBI3M Curncy,RUB Fwd Imp Yld 3M,EM FX
24,I05708Y Index,CHF Switzerland Swap 0 8,Nominal Swap
25,F12703M Index,AUD Australia Sov 0 Cpn 3,Nominal Bond
26,GBPSEK Curncy,GBP-SEK X-RATE,DM FX
27,BCOMGC Index,BBG Gold,Precious Metals
28,TRYUSD Curncy,TRY-USD X-RATE,EM FX
29,F12703Y Index,AUD Australia Sov 0 Cpn 3,Nominal Bond
30,IINEGBR Index,IMF United Kingdom Inflation E,IMF Inflation Expectation
31,BCOMRBO Index,BBGRollSoybnO,Agriculture
32,GBPCHF Curncy,GBP-CHF X-RATE,DM FX
33,PPP UK Index,OECD PPP - United Kingdom,OECD PPP
34,F25010Y Index,NZD 0CPN YLDS10Y,Nominal Bond
35,I05320Y Index,EUR Swap Annual 0 Cpn Yld20,Nominal Swap
36,CADI3M Index,CAD Fwd Imp Yld 3M,DM FX
37,F26608Y Index,NOK 0CPN YLDS8Y,Nominal Bond
38,EURNZD Curncy,EUR-NZD X-RATE,DM FX
39,IDRUSDCR Curncy,IDR-USD Carry Return,EM FX
40,F08207Y Index,UST Bond/Notes 0 Coupon 7,Nominal Bond
41,I05203M Index,USD Swap Rate 0 Cpn Yld 3,Nominal Swap
42,F25007Y Index,NZD 0CPN YLDS7Y,Nominal Bond
43,F26603M Index,NOK 0CPN YLDS3M,Nominal Bond
44,F91015Y Index,EUR 0CPN YLDS15Y,Nominal Bond
45,EGPUSD Curncy,EGP-USD X-RATE,EM FX
46,F91002Y Index,EUR 0CPN YLDS2Y,Nominal Bond
47,I05615Y Index,JPY Japan Swap Rate 0 Cpn15,Nominal Swap
48,NZDCHFCR Curncy,NZD-CHF Carry Return,DM FX
49,F08205Y Index,UST Bond/Notes 0 Coupon 5,Nominal Bond
50,I05303Y Index,EUR Swap Annual 0 Cpn Yld3,Nominal Swap
51,MXNUSDCR Curncy,MXN-USD Carry Return,EM FX
52,NKSW1 Curncy,NOK SWAP ANN (VS 6M) 1Y,Currency SWAP
53,JGENVUUG Index,JPM GBI-EM Global ,EM Debt Local
54,THBI3M Curncy,THB IMPLIED YLD 3 MO,EM FX
55,TPXDDVD Index,TOPIX Total Return,DM Equity
56,I05707Y Index,CHF Switzerland Swap 0 7,Nominal Swap
57,F08201Y Index,UST Bond/Notes 0 Coupon 1,Nominal Bond
58,F26601Y Index,NOK 0CPN YLDS1Y,Nominal Bond
59,JPMTJPN INDEX,JPM GBI Japan in LOC,Nominal Bond
60,F26603Y Index,NOK 0CPN YLDS3Y,Nominal Bond
61,CADNOK Curncy,CAD-NOK X-RATE,DM FX
62,I08606Y Index,NOK Swap Rate 0 Cpn Yld 6,Nominal Swap
63,GBPCHFCR Curncy,GBP-CHF Carry Return,DM FX
64,BCOMCN6 Index,BBGCornSub6Mfwd,Agriculture
65,AUDCHF Curncy,AUD-CHF X-RATE,DM FX
66,F10506Y Index,JPY Japan Sovereign 6,Nominal Bond
67,AUDNZD Curncy,AUD-NZD X-RATE,DM FX
68,F10520Y Index,JPY Japan Sovereign 20,Nominal Bond
69,BCOMNI6 Index,BBGNickelSub6Mfwd,Industrial Metals
70,ILSI3M Curncy,ILS FWRD IMP. YIELD 3 MO,EM FX
71,EUR003M Curncy,Euribor 3 Month ACT/360,Nominal Bond
72,IINEMYS Index,IMF Malaysia Inflation End of,IMF Inflation Expectation
73,I05205Y Index,USD Swap Rate 0 Cpn Yld 5,Nominal Swap
74,I08602Y Index,NOK Swap Rate 0 Cpn Yld 2,Nominal Swap
75,SPXT Index,S&P 500 Total Return,DM Equity
76,PPP CA Index,OECD PPP - Canada,OECD PPP
77,F10130Y Index,CAD Canada Sov <9% 0 Cpn 30,Nominal Bond
78,BCOMRRB Index,BBGRollUnldGas,Energy
79,AUDNZDCR Curncy,AUD-NZD Carry Return,DM FX
80,CNYUSDCR Curncy,CNY-USD Carry Return,EM FX
81,BCOMGC2 Index,BBG Gold-F2,Precious Metals
82,I09403M Index,NZD Swap Rate 0 Cpn Yld 3,Nominal Swap
83,BCOMRB1 Index,BBG UnleadGasSub 1MFwd,Energy
84,BCOMRNI Index,BBGRollNickel,Industrial Metals
85,IINEHUN Index,IMF Hungary Inflation End of P,IMF Inflation Expectation
86,BCOMRSM Index,BBGRollSelSM,Commodity
87,M00IEA$O Index,MSCI EAFE Minimum Volati,Equity Factor
88,F12708Y Index,AUD Australia Sov 0 Cpn 8,Nominal Bond
89,USDCAD Curncy,USD-CAD X-RATE,DM FX
90,TU1 A:00_0_R Comdty,2y US Treasury Future,Nominal Bond
91,F25906Y Index,SEK 0CPN YLDS6Y,Nominal Bond
92,PHPUSDCR Curncy,PHP-USD Carry Return,EM FX
93,BCOMCO Index,BBG Brent Crude,Energy
94,G 1 A:00_0_R Comdty,Gilt Future,Nominal Bond
95,BCOMRCT Index,BBGRollCotton,Agriculture
96,PPP EUAR Index,OECD PPP - Euro Area,OECD PPP
97,STIB3M Index,Stockholm Interbank 3M,Nominal Bond
98,ADSWAP10 Index,AUD SWAP SA (VS 6M) 10Y,Currency SWAP
99,I09404Y Index,NZD Swap Rate 0 Cpn Yld 4,Nominal Swap
100,I07203Y Index,CAD Canada Swap 0 Cpn Yld3,Nominal Swap
101,I05104Y Index,AUD Swap Rate 0 Cpn Yld 4,Nominal Swap
102,USDCADCR Curncy,USD-CAD Carry Return,DM FX
103,GBPAUD Curncy,GBP-AUD X-RATE,DM FX
104,BCOMHG Index,BBG Copper,Industrial Metals
105,F08215Y Index,UST Bond/Notes 0 Coupon 15,Nominal Bond
106,XNDX Index,NASDAQ-100 Total Return Index,Equity Sector
107,F10102Y Index,CAD Canada Sov <9% 0 Cpn 2,Nominal Bond
108,I09403Y Index,NZD Swap Rate 0 Cpn Yld 3,Nominal Swap
109,GBPJPYCR Curncy,GBP-JPY Carry Return,DM FX
110,BCOMLH6 Index,BBGLeanHogsSub6Mfwd,Agriculture
111,I07202Y Index,CAD Canada Swap 0 Cpn Yld2,Nominal Swap
112,BCOMKC1 Index,BBG Coffee Sub 1MFwd,Agriculture
113,EURSEK Curncy,EUR-SEK X-RATE,DM FX
114,AUDI3M Index,AUD Fwd Imp Yld 3M,DM FX
115,IINERUS Index,IMF Russia Inflation End of Pe,IMF Inflation Expectation
116,F11004Y Index,GBP UK Gilts 0 Coupon 4,Nominal Bond
117,BCOMZS1 Index,BBGZinc Sub 1MFwd,Industrial Metals
118,I05206Y Index,USD Swap Rate 0 Cpn Yld 6,Nominal Swap
119,I05509Y Index,GBP Swap Rate 0 Cpn Yld 9,Nominal Swap
120,M1WOEV Index,Wrld ENHANCED VALUE $,Equity Factor
121,PPP AS Index,OECD PPP - Australia,OECD PPP
122,PLNI3M Curncy,PLN Fwd Imp Yld 3M,EM FX
123,NZDCAD Curncy,NZD-CAD X-RATE,DM FX
124,BCOMF1 Index,BBG Cmdty 1 M Fwd,Commodity
125,PP1 A:00_0_R Curncy,PLN Ffuture,EM FX
126,BCOMZS Index,BBGZinc,Industrial Metals
127,F12705Y Index,AUD Australia Sov 0 Cpn 5,Nominal Bond
128,IINEIND Index,IMF India Inflation End of Per,IMF Inflation Expectation
129,LUACER Index,Bloomberg Barclays US Agg Corp,Credit
130,F26620Y Index,NOK 0CPN YLDS20Y,Nominal Bond
131,I05108Y Index,AUD Swap Rate 0 Cpn Yld 8,Nominal Swap
132,SF1 A:00_0_R Curncy,CHF Future,DM FX
133,M1EA Index,MSCI EAFE NR,DM Equity
134,M1WD000$ Index,MSCI ACWI MOMENTUM NRU,Equity Factor
135,I08708Y Index,SEK Swap Rates 0 Cpn Yld 8,Nominal Swap
136,NOKUSD Curncy,NOK-USD X-RATE,DM FX
137,F10109Y Index,CAD Canada Sov <9% 0 Cpn 9,Nominal Bond
138,GDDLSW index,MSCI TR Sweden,DM Equity
139,BCOMRB6 Index,BBGUnleadedGasSub6Mfwd,Energy
140,I08720Y Index,SEK Swap Rates 0 Cpn Yld 20,Nominal Swap
141,JY1 A:00_0_R Curncy,JPY Future,DM FX
142,HG1 A:00_0_R Comdty,Copper Future,Industrial Metals
143,KAA1 A:00_0_R Comdty,10y Korean Bond Future,Nominal Bond
144,OE1 A:00_0_R Comdty,5y BOBL Future,Nominal Bond
145,BCOMRGC Index,BBGRollGold,Precious Metals
146,TRYUSDCR Curncy,TRY-USD Carry Return,EM FX
147,EURCHF Curncy,EUR-CHF X-RATE,DM FX
148,NDSOC Index,NZD SWAP OIS 3M,Currency SWAP
149,RTA1 A:00_0_R Index,Russell 2000 Future,Small Cap Equity
150,F10503Y Index,JPY Japan Sovereign 3,Nominal Bond
151,RLUK Index,EPRA UK (GBP) TR INDEX,REITS
152,F26606Y Index,NOK 0CPN YLDS6Y,Nominal Bond
153,F26610Y Index,NOK 0CPN YLDS10Y,Nominal Bond
154,GBPJPY Curncy,GBP-JPY X-RATE,DM FX
155,F26609Y Index,NOK 0CPN YLDS9Y,Nominal Bond
156,BCOMHO1 Index,BBG HeatOil Sub 1MFwd,Energy
157,M1WOMOM Index,MSCI World Momentum Net$,Equity Factor
158,IXS1 A:00_0_R Index,US Utilities Future,Equity Sector
159,F91008Y Index,EUR 0CPN YLDS8Y,Nominal Bond
160,I07230Y Index,CAD Canada Swap 0 Cpn Yld30,Nominal Swap
161,JPMTUK INDEX,JPM GBI UK in LOC,Nominal Bond
162,I08709Y Index,SEK Swap Rates 0 Cpn Yld 9,Nominal Swap
163,GBPUSDCR Curncy,GBP-USD Carry Return,DM FX
164,BPSW1 Curncy,GBP SWAP SA (VS 6M) 1Y,Currency SWAP
165,EURGBP Curncy,EUR-GBP X-RATE,DM FX
166,F25630Y Index,CHF 0CPN YLDS30Y,Nominal Bond
167,BCOMCO2 Index,BBGBrntCrudeF2,Energy
168,I09410Y Index,NZD Swap Rate 0 Cpn Yld 10,Nominal Swap
169,CADCHFCR Curncy,CAD-CHF Carry Return,DM FX
170,BCOMSY Index,BBG Soybeans,Agriculture
171,MXNUSD Curncy,MXN-USD X-RATE,EM FX
172,MLT1US10 Index,ML 10y US Treasury Total Return Future,Nominal Bond
173,F25903M Index,SEK 0CPN YLDS3M,Nominal Bond
174,BCOMHG2 Index,BBG Copper-F2,Industrial Metals
175,F10501Y Index,JPY Japan Sovereign 1,Nominal Bond
176,BZ1 A:00_0_R Index,Ibovespa Index Future,EM Equity
177,LF98ER Index,Bloomberg Barclays US Corporat,Credit
178,GCUDUS index,MSCI TR US Small Cap ,Small Cap Equity
179,BCOMKC2 Index,BBG Coffee-F2,Agriculture
180,F08230Y Index,UST Bond/Notes 0 Coupon 30,Nominal Bond
181,US0003M Index,ICE LIBOR USD 3M,Nominal Bond
182,BEIG1T Index,EU IL Bond Total Return Index,IL Bond
183,F25610Y Index,CHF 0CPN YLDS10Y,Nominal Bond
184,USDSEKCR Curncy,USD-SEK Carry Return,DM FX
185,M1WD Index,MSCI AC WORLD NR,DM Equity
186,F91004Y Index,EUR 0CPN YLDS4Y,Nominal Bond
187,BCOMBO1 Index,BBG SoybOil Sub 1MFwd,Agriculture
188,NDSWAP9 Index,NZD SWAP SA(V 3M) 9Y,Currency SWAP
189,BCOMSB1 Index,BBG Sugar Sub 1MFwd,Agriculture
190,CHFNOK Curncy,CHF-NOK X-RATE,DM FX
191,BCNI3M Curncy,BRL NDF IMP. YIELD 3 MO,EM FX
192,BCOMLH Index,BBG Lean Hogs,Agriculture
193,BCOMKC6 Index,BBGCoffeeSub6Mfwd,Agriculture
194,CADSEK Curncy,CAD-SEK X-RATE,DM FX
195,F25020Y Index,NZD 0CPN YLDS20Y,Nominal Bond
196,I05502Y Index,GBP Swap Rate 0 Cpn Yld 2,Nominal Swap
197,PPP NZ Index,OECD PPP - NewZealand,OECD PPP
198,F12702Y Index,AUD Australia Sov 0 Cpn 2,Nominal Bond
199,BCOMNI2 Index,BBG Nickel-F2,Industrial Metals
200,NZDNOK Curncy,NZD-NOK X-RATE,DM FX
201,I08707Y Index,SEK Swap Rates 0 Cpn Yld 7,Nominal Swap
202,SKSW1 Curncy,SEK SWAP ANN (VS 3M ) 1Y,Currency SWAP
203,I05220Y Index,USD Swap Rate 0 Cpn Yld 20,Nominal Swap
204,I05605Y Index,JPY Japan Swap Rate 0 Cpn5,Nominal Swap
205,GBPNZD Curncy,GBP-NZD X-RATE,DM FX
206,BCOMGO2 Index,BCOM GO 2MF,Energy
207,BCOMHO Index,BBG Heat Oil,Energy
208,CHNI3M Curncy,CLP NDF IMP. YIELD 3 MO,EM FX
209,PE1 A:00_0_R Curncy,MXN Future,EM FX
210,BCOMCT Index,BBG Cotton,Agriculture
211,F25915Y Index,SEK 0CPN YLDS15Y,Nominal Bond
212,PPP SW Index ,OECD PPP - Sweden,OECD PPP
213,BCOMLC2 Index,BBG LivCtle-F2,Agriculture
214,PPP US Index,OECD PPP - United States,OECD PPP
215,F10509Y Index,JPY Japan Sovereign 9,Nominal Bond
216,NOKUSDCR Curncy ,NOK-USD Carry Return,DM FX
217,BCOMKW6 Index,BBGKnsasWhtF6,Agriculture
218,BCOMCN Index,BBG Corn,Agriculture
219,BCOMGO6 Index,BCOM GO 6MF,Energy
220,F25003Y Index,NZD 0CPN YLDS3Y,Nominal Bond
221,BCOMSB6 Index,BBGSugarSub6Mfwd,Agriculture
222,PPP NO Index,OECD PPP - Norway,OECD PPP
223,BCOMRSY Index,BBGRollSoybean,Agriculture
224,F11006Y Index,GBP UK Gilts 0 Coupon 6,Nominal Bond
225,GBPSEKCR Curncy,GBP-SEK Carry Return,DM FX
226,RONI3M Curncy,RON FWRD IMP. YIELD 3 MO,EM FX
227,BCOMWH6 Index,BBGWheatSub6Mfwd,Agriculture
228,BCOMSB Index,BBG Sugar,Agriculture
229,USDJPYCR Curncy,USD-JPY Carry Return,DM FX
230,BCOMRB Index,BBG Unleaded Gasoline,Energy
231,RX1 A:00_0_R Comdty,Bund Future,Nominal Bond
232,EC1 A:00_0_R Curncy,EUR Future,DM FX
233,GDDLAS index,MSCI TR Australia,DM Equity
234,PSNI3M Curncy,PEN NDF IMP. YIELD 3 MO,EM FX
235,I05515Y Index,GBP Swap Rate 0 Cpn Yld 15,Nominal Swap
236,GBPNZDCR Curncy,GBP-NZD Carry Return,DM FX
237,F25620Y Index,CHF 0CPN YLDS20Y,Nominal Bond
238,BCOMAL2 Index,BBG Alumin-F2,Industrial Metals
239,I05103M Index,AUD Swap Rate 0 Cpn Yld 3,Nominal Swap
240,JYSWAP9 Index,JPY SWAP SA (V 6M) 9Y,Currency SWAP
241,I05715Y Index,CHF Switzerland Swap 0 15,Nominal Swap
242,LC61TRGU Index,Bloomberg Barclays Sterling,Credit
243,EURJPY Curncy,EUR-JPY X-RATE,DM FX
244,CL1 A:00_0_R Comdty,Crude Oil Future,Energy
245,AUDSEK Curncy,AUD-SEK X-RATE,DM FX
246,CZKI3M Curncy,CZK Fwd Imp Yld 3M,EM FX
247,TY1 A:00_0_R Comdty,10y US Treasury Future,Nominal Bond
248,GBPI3M Index,GBP Fwd Imp Yld 3M,DM FX
249,I05203Y Index,USD Swap Rate 0 Cpn Yld 3,Nominal Swap
250,BCOMKW2 Index,BBGKnsasWhtF2,Agriculture
251,BCOMHG6 Index,BBGCopperSub6Mfwd,Industrial Metals
252,GDDUUS index,MSCI USA TR,DM Equity
253,BCOMRCO Index,BBGRollBrntCru,Energy
254,IINEUSA Index,IMF United States Inflation En,IMF Inflation Expectation
255,F91010Y Index,EUR 0CPN YLDS10Y,Nominal Bond
256,IINEPOL Index,IMF Poland Inflation End of Pe,IMF Inflation Expectation
257,F25003M Index,NZD 0CPN YLDS3M,Nominal Bond
258,I05307Y Index,EUR Swap Annual 0 Cpn Yld7,Nominal Swap
259,BCOMRKC Index,BBGRollCoffee,Agriculture
260,I05603M Index,JPY Japan Swap Rate 0 Cpn3,Nominal Swap
261,LF98TRUU Index,Bloomberg Barclays US Corpor,Credit
262,JPMTIT INDEX,JPM GBI Italy in LOC,Nominal Bond
263,IINEISR Index,IMF Israel Inflation End of Pe,IMF Inflation Expectation
264,BCOMNG2 Index,BBG NtrlGas-F2,Natgas
265,BCOMGC1 Index,BBG Gold Sub 1MFwd,Precious Metals
266,SEKJPY Curncy,SEK-JPY X-RATE,DM FX
267,F26630Y Index,NOK 0CPN YLDS30Y,Nominal Bond
268,M1EAEV Index,MSCI EAFE EV NR USD,Equity Factor
269,I08603M Index,NOK Swap Rate 0 Cpn Yld 3,Nominal Swap
270,I05607Y Index,JPY Japan Swap Rate 0 Cpn7,Nominal Swap
271,I08603Y Index,NOK Swap Rate 0 Cpn Yld 3,Nominal Swap
272,YM1 A:00_0_R Comdty,3y Australian Bond Future,Nominal Bond
273,BCOMBO2 Index,BBG SoybOil-F2,Agriculture
274,F25002Y Index,NZD 0CPN YLDS2Y,Nominal Bond
275,BCOM Index,BBG Commodity,Commodity
276,I05503Y Index,GBP Swap Rate 0 Cpn Yld 3,Nominal Swap
277,USDCHF Curncy,USD-CHF X-RATE,DM FX
278,I05507Y Index,GBP Swap Rate 0 Cpn Yld 7,Nominal Swap
279,F10507Y Index,JPY Japan Sovereign 7,Nominal Bond
280,PENUSDCR Curncy,PEN-USD Carry Return,EM FX
281,IRNI3M Curncy,INR NDF IMP. YIELD 3 MO,EM FX
282,CHFUSD Curncy,CHF-USD X-RATE,DM FX
283,CLPUSD Curncy,CLP-USD X-RATE (x100),EM FX
284,MYRUSD Curncy,MYR-USD X-RATE,EM FX
285,BCOMCO1 Index,BBG BrentCrudeSub1MFwd,Energy
286,BCOMNI1 Index,BBG Nickel Sub 1MFwd,Industrial Metals
287,BCOMCN1 Index,BBG Corn Sub 1MFwd,Agriculture
288,M1EAMM Index,MSCI EAFE MOMENTUM,Equity Factor
289,TWDUSD Curncy,TWD-USD X-RATE,EM FX
290,NKSW10 Index,NOK SWAP ANN (VS 6M) 10Y,Currency SWAP
291,BCOMAL Index,BBG Aluminum,Industrial Metals
292,F10104Y Index,CAD Canada Sov <9% 0 Cpn 4,Nominal Bond
293,GDDLUK index,MSCI TR UK,DM Equity
294,USDSEK Curncy,USD-SEK X-RATE,DM FX
295,LP01TREU Index,Bloomberg Barclays Pan-Europ,Credit
296,F91003M Index,EUR 0CPN YLDS3M,Nominal Bond
297,LECPTREU Index,Bloomberg Barclays Euro Aggr,Credit
298,F10105Y Index,CAD Canada Sov <9% 0 Cpn 5,Nominal Bond
299,AUDUSD Curncy,AUD-USD X-RATE,DM FX
300,BCOMCO6 Index,BBGBrntCrudeF6,Energy
301,F11002Y Index,GBP UK Gilts 0 Coupon 2,Nominal Bond
302,CZKEURCR Curncy,CZK-EUR Carry Return,EM FX
303,BCOMSB2 Index,BBG Sugar-F2,Agriculture
304,BCOMRKW Index,BBGRollSelKM,Agriculture
305,BCOMBO6 Index,BBGSoybeanOilSub6Mfwd,Agriculture
306,F11005Y Index,GBP UK Gilts 0 Coupon 5,Nominal Bond
307,EUSA9 Index,EUR SWAP ANN (VS 6M) 9Y,Currency SWAP
308,F12709Y Index,AUD Australia Sov 0 Cpn 9,Nominal Bond
309,F26602Y Index,NOK 0CPN YLDS2Y,Nominal Bond
310,I05302Y Index,EUR Swap Annual 0 Cpn Yld2,Nominal Swap
311,CDSW1 Curncy,CAD SWAP SA (VS 3M ) 1Y,Currency SWAP
312,F91009Y Index,EUR 0CPN YLDS9Y,Nominal Bond
313,BCOMCL2 Index,BBG WTICrd-F2,Energy
314,BCOMLC6 Index,BBGLiveCattleSub6Mfwd,Agriculture
315,KU1 A:00_0_R Curncy,KRWUSD Future,EM FX
316,F26607Y Index,NOK 0CPN YLDS7Y,Nominal Bond
317,IINEIDN Index,IMF Indonesia Inflation End of,IMF Inflation Expectation
318,BCOMTR Index,BBG Commodity TR,Commodity
319,BCOMF2 Index,BBG Cmdty 2 M Fwd,Commodity
320,IINECHN Index,IMF China Inflation End of Per,IMF Inflation Expectation
321,RUBUSD Curncy,RUB-USD X-RATE,EM FX
322,IINEROU Index,IMF Romania Inflation End of P,IMF Inflation Expectation
323,IINECZE Index,IMF Czech Republic Inflation E,IMF Inflation Expectation
324,KWNI3M Curncy,KRW NDF IMP. YIELD 3 MO,EM FX
325,IINEMEX Index,IMF Mexico Inflation End of Pe,IMF Inflation Expectation
326,F25905Y Index,SEK 0CPN YLDS5Y,Nominal Bond
327,BCOMSI2 Index,BBG Silver-F2,Precious Metals
328,VG1 A:00_0_R Index,EURO STOXX 50 Future,DM Equity
329,EURNZDCR Curncy,EUR-NZD Carry Return,DM FX
330,F11003M Index,GBP UK Gilts 0 Coupon 3,Nominal Bond
331,JYSWAP10 Index,JPY SWAP SA (V 6M) 10Y,Currency SWAP
332,I08630Y Index,NOK Swap Rate 0 Cpn Yld 30,Nominal Swap
333,F08204Y Index,UST Bond/Notes 0 Coupon 4,Nominal Bond
334,I08706Y Index,SEK Swap Rates 0 Cpn Yld 6,Nominal Swap
335,SKSW9 Index,SEK SWAP ANN (VS 3M ) 9Y,Currency SWAP
336,F11009Y Index,GBP UK Gilts 0 Coupon 9,Nominal Bond
337,NZDSEKCR Curncy,NZD-SEK Carry Return,DM FX
338,I07215Y Index,CAD Canada Swap 0 Cpn Yld15,Nominal Swap
339,BPSW10 Index,GBP SWAP SA (VS 6M) 10Y,Currency SWAP
340,SEKI3M Index,SEK Fwd Imp Yld 3M,DM FX
341,F91005Y Index,EUR 0CPN YLDS5Y,Nominal Bond
342,AUDJPYCR Curncy,AUD-JPY Carry Return,DM FX
343,F12701Y Index,AUD Australia Sov 0 Cpn 1,Nominal Bond
344,BCOMRSB Index,BBGRoll Sugar,Agriculture
345,CN1 A:00_0_R Comdty,Canada 10y Future ,Nominal Bond
346,I08710Y Index,SEK Swap Rates 0 Cpn Yld 10,Nominal Swap
347,NDSWAP1 Curncy,NZD SWAP SA(V 3M) 1Y,Currency SWAP
348,BCOMCT2 Index,BBG Cotton-F2,Agriculture
349,AUDUSDCR Curncy,AUD-USD Carry Return,DM FX
350,I05610Y Index,JPY Japan Swap Rate 0 Cpn10,Nominal Swap
351,I08705Y Index,SEK Swap Rates 0 Cpn Yld 5,Nominal Swap
352,EURUSDCR Curncy,EUR-USD Carry Return,DM FX
353,ZARUSD Curncy,ZAR-USD X-RATE,EM FX
354,CADSEKCR Curncy,CAD-SEK Carry Return,DM FX
355,FV1 A:00_0_R Comdty,5y US Treasury Future,Nominal Bond
356,LC61ER Index,Bloomberg Barclays Sterling Ag,Credit
357,I05230Y Index,USD Swap Rate 0 Cpn Yld 30,Nominal Swap
358,CHFSEKCR Curncy,CHF-SEK Carry Return,DM FX
359,F12706Y Index,AUD Australia Sov 0 Cpn 6,Nominal Bond
360,F12730Y Index,AUD Australia Sov 0 Cpn 30,Nominal Bond
361,I05106Y Index,AUD Swap Rate 0 Cpn Yld 6,Nominal Swap
362,F25930Y Index,SEK 0CPN YLDS30Y,Nominal Bond
363,I08730Y Index,SEK Swap Rates 0 Cpn Yld 30,Nominal Swap
364,I07206Y Index,CAD Canada Swap 0 Cpn Yld6,Nominal Swap
365,BCOMBO Index,BBG Soybean Oil,Agriculture
366,F91007Y Index,EUR 0CPN YLDS7Y,Nominal Bond
367,I07208Y Index,CAD Canada Swap 0 Cpn Yld8,Nominal Swap
368,THBUSD Curncy,THB-USD X-RATE,EM FX
369,BCOMRSI Index,BBGRollSilver,Precious Metals
370,IINEZAF Index,IMF South Africa Inflation End,IMF Inflation Expectation
371,HSI 1 Index,Hang Seng Index Total Return,DM Equity
372,BCIT1T Index,US IL Bond Total Return Index,IL Bond
373,F91030Y Index,EUR 0CPN YLDS30Y,Nominal Bond
374,I08702Y Index,SEK Swap Rates 0 Cpn Yld 2,Nominal Swap
375,I07205Y Index,CAD Canada Swap 0 Cpn Yld5,Nominal Swap
376,BCOMGO Index,BBG GasOil,Energy
377,F08203M Index,UST Bond/Notes 0 Coupon 3,Nominal Bond
378,BCOMRLC Index,BBGRollLvCattl,Agriculture
379,Z 1 A:00_0_R Index,FTSE 100 Index Future,DM Equity
380,NK1 A:00_0_R Index,Nikkei 225 Future ,DM Equity
381,I05130Y Index,AUD Swap Rate 0 Cpn Yld 30,Nominal Swap
382,BCOMCL6 Index,BBGWTICrudeOilSub6Mfwd,Energy
