1996,BRL,PEN,ARS,MXN,COP,CLP,TRY,RUB,ILS,CZK,RON,HUF,PLN,EGP,ZAR,NGN,CNY,KRW,MYR,IDR,INR,PHP,TWD,THB,EUR,GBP,USD
,IINEBRA Index,IINEPER Index,IINEARG Index,IINEMEX Index,IINECOL Index,IINECHL Index,IINETUR Index,IINERUS Index,IINEISR Index,IINECZE Index,IINEROU Index,IINEHUN Index,IINEPOL Index,IINEEGY Index,IINEZAF Index,IINENGA Index,IINECHN Index,IINEKOR Index,IINEMYS Index,IINEIDN Index,IINEIND Index,IINEPHL Index,IINETWN Index,IINETHA Index,IINEEURO Index,IINEGBR Index,IINEUSA Index
1996,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
1997,5.225,6.463,#N/A N/A,15.719,17.541,6.041,99.016,11.032,6.988,10.085,151.42,18.443,13.2,4.761,6.211,10.213,0.4,6.574,2.916,10.352,9.039,6.278,0.266,7.48,1.603,1.781,1.686
1998,1.656,6.007,0.664,18.609,16.462,4.663,69.634,84.436,8.622,6.832,40.57,10.306,8.6,3.378,9.064,11.913,-1,3.966,5.313,77.611,8.988,10.127,2.114,4.387,0.837,1.385,1.607
1999,8.94,3.726,-1.81,12.319,9.037,2.318,68.805,36.558,1.344,2.326,54.81,11.179,9.801,2.877,2.145,0.224,-1,1.355,2.466,1.901,3.683,4.023,0.154,0.58,1.823,1.123,2.939
2000,5.974,3.734,-0.734,8.959,8.511,4.554,38.998,20.2,0,3.977,40.71,10.073,8.5,2.542,6.824,14.527,1.5,2.78,1.204,9.33,2.934,6.262,1.641,1.585,2.566,0.955,3.427
2001,7.673,-0.127,-1.544,4.403,7.456,2.666,68.489,18.584,1.409,4.098,30.193,6.818,3.6,2.231,4.668,16.495,-0.3,3.163,1.189,12.579,5.101,4.506,-1.685,0.567,2.098,1.021,1.552
2002,12.53,1.516,40.953,5.7,6.832,2.866,29.705,15.056,6.496,0.656,17.89,4.822,0.8,2.749,12.441,12.169,-0.4,3.734,1.603,9.938,3.783,2.653,0.768,1.693,2.31,1.524,2.616
2003,9.3,2.484,3.656,3.977,6.375,1.1,18.403,11.988,-1.886,1.043,14.241,5.657,1.7,4.013,0.209,23.811,3.2,3.419,1.157,5.184,3.989,3.877,-0.059,1.803,2.021,1.315,1.909
2004,7.601,3.481,6.101,5.191,5.452,2.444,9.353,11.741,1.207,2.71,9.158,5.523,4.4,11.709,3.542,10.008,2.4,3.035,2.183,6.385,4.233,8.398,1.619,2.861,2.36,1.436,3.209
2005,5.69,1.494,12.327,3.333,4.834,3.671,7.717,10.915,2.386,2.261,8.717,3.338,0.7,4.732,3.622,11.565,1.6,2.619,3.211,17.138,4.882,6.743,2.206,5.828,2.269,2.127,3.683
2006,3.142,1.138,9.841,4.053,4.459,2.607,9.653,8.996,-0.097,1.72,4.879,6.538,1.4,7.259,5.825,8.5,2.8,2.089,3.146,6.585,7.001,4.435,0.678,3.63,1.927,2.715,2.199
2007,4.457,3.928,8.468,3.759,5.659,7.861,8.387,11.869,3.397,5.435,6.561,7.374,4,8.571,8.807,6.607,6.5,3.607,2.288,5.794,6.283,3.861,3.333,3.019,3.105,2.119,4.084
2008,5.902,6.65,7.238,6.528,7.605,7.088,10.064,13.282,3.805,3.666,6.3,3.502,3.3,19.914,10.066,15.052,1.2,4.139,4.473,11.057,9.36,8.055,1.26,0.469,1.656,3.88,0.701
2009,4.312,0.245,7.695,3.574,1.92,-1.507,6.526,8.797,3.915,0.994,4.751,5.555,3.5,9.931,6.308,13.93,1.9,2.801,1.019,2.769,10.538,4.358,-0.247,3.501,0.918,2.121,1.919
2010,5.909,2.076,10.923,4.402,3.07,2.941,6.401,8.777,2.662,2.298,7.978,4.673,3.1,10.58,3.473,11.816,4.6,3.034,2.119,6.963,9.166,3.626,1.236,3.078,2.221,3.38,1.689
2011,6.503,4.738,9.508,3.819,3.682,4.388,10.448,6.101,2.17,2.353,3.133,4.07,4.6,11.783,6.154,10.287,4.1,4.159,2.964,3.779,8.781,4.136,2.028,3.533,2.755,4.631,3.086
2012,5.839,2.649,10.842,3.568,2.442,1.457,6.164,6.576,1.635,2.403,4.964,4.992,2.4,7.257,5.665,11.979,2.5,1.426,1.248,3.655,10.488,2.749,1.613,3.623,2.217,2.634,1.822
2013,5.911,2.86,10.946,3.974,1.976,3.058,7.4,6.45,1.816,1.429,1.569,0.416,0.7,9.754,5.362,7.961,2.5,1.143,3.223,8.078,7.663,3.766,0.338,1.672,0.848,2.066,1.319
2014,6.408,3.224,23.915,4.081,3.7,4.699,8.17,11.362,-0.196,0.101,0.828,-0.927,-1,8.2,5.325,7.978,1.5,0.833,2.663,8.363,5.272,1.91,0.602,0.602,-0.17,0.911,0.524
2015,10.673,4.398,23.915,2.131,6.81,4.43,8.808,12.908,-0.997,0,-0.947,0.889,-0.5,11.388,5.281,9.554,1.6,1.132,2.683,3.359,5.259,0.75,0.132,-0.857,0.251,0.056,0.714
2016,6.288,3.235,23.915,3.36,5.755,2.728,8.533,5.375,-0.202,2.01,-0.534,1.844,0.8,13.969,6.724,18.546,2.1,1.337,1.742,3.021,3.569,2.233,1.693,1.126,1.1,1.209,2.171
2017,2.947,1.365,24.796,6.773,4.097,2.264,11.92,2.523,0.4,2.365,3.32,2.14,2.1,29.764,4.717,15.368,1.8,1.408,3.51,3.608,4.594,2.912,1.216,0.775,1.345,3.027,2.171
2018,3.745,2.192,47.646,4.831,3.157,2.123,20.302,4.269,0.797,2.021,3.261,2.749,1.1,14.384,4.92,11.442,1.9,1.321,0.165,3.157,2.465,5.128,-0.059,0.355,1.522,2.275,1.911
2019,4.306,1.9,53.832,2.829,3.796,2.976,11.836,3.046,0.601,3.208,4.047,4.033,3.4,9.377,3.745,11.982,4.5,0.738,0.991,2.586,5.766,2.523,1.133,0.875,1.326,1.415,1.902
2020,3.01,1.575,53.832,2.435,3.198,2.5,12,3.793,-1.5,2,1.388,2.988,2.149,6.212,0,13.873,0.953,-0.3,0.106,3.092,2.734,2.6,0.5,-1.057,-0.083,1.018,0.784
2021,3.268,2.003,53.832,3,3.042,3,12,2.887,0.275,2,1.937,3.092,2.543,8.978,4.334,11.296,2.983,0.9,2.792,3,3.849,3,1.5,0.726,1.281,1.945,2.417
2022,3.488,1.972,25,3,3.042,3,11,4,2,2,2.549,3.038,3.2,7.325,5.3,11.3,2.9,1.8,2.248,2.994,4.048,3,1.437,1.8,1.631,2,2.309
2023,3.487,1.972,20,3,3.042,3,11,3.955,2,2,2.549,2.987,3,7.06,5.3,11,3,1.9,2.275,2.984,3.978,3,1.403,1.9,1.853,2,2.294
2024,3.488,1.972,15,3,3.042,3,11,4,2,2,2.549,3.038,2.7,7.003,5.3,11,3,2,2.294,2.984,3.977,3,1.437,2,1.795,2,2.224
