Country,Subject Descriptor,Subject Notes,Units,2015,2016,2017,2018,2019,2020,2021,2022
Libya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.718,29.897,35.093,29.897,24.702,24.702,24.702,22.537
Lithuania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.249,1.96,3.338,2.026,2.147,2.458,2.509,2.535
Luxembourg,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.828,1.572,-1.253,3.725,0.773,2.939,1.207,2.734
Macao SAR,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.731,1.444,1.5,2.2,2.4,2.6,2.8,3
FYR Macedonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.318,-0.292,1.7,1.7,2,2,2,2
Madagascar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.563,6.952,7.67,6.762,6.029,5.37,5.356,5
Malawi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,24.855,19.969,11.14,8.328,8.012,7.857,3.998,2.221
Malaysia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.683,1.829,3.818,2.896,3,3,3,3
Maldives,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.156,1.821,2.143,2.218,2.218,2.422,2.422,2.625
Mali,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.971,-0.787,1,1.4,1.7,2,2.2,2.2
Malta,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.253,0.963,1.477,1.685,1.8,1.8,1.8,1.8
Marshall Islands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.236,-1.508,0.7,1.1,1.5,2.112,2.112,2.112
Mauritania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.83,2.77,1.592,4.749,4.963,3.968,3.968,3.968
Mauritius,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.327,2.339,5,4,3.5,3.25,3.125,3.063
Mexico,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.131,3.36,6.053,3.475,3,3,3,3
Micronesia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.158,0.475,0.915,2,2,2,5.072,2.045
Moldova,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,13.528,2.368,7.026,5.2,5,5,5,5
Mongolia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.129,0.897,6.872,6.466,6.903,6.5,6.5,6.5
Montenegro,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.42,1,1.554,2.558,1.89,1.785,1.875,1.975
Morocco,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.646,1.819,1.1,1.6,2,2,2,2
Mozambique,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.099,21.1,13.968,8,5.5,5.5,5.5,5.5
Myanmar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.447,6.998,6.5,6.1,6.3,6.2,6,5.783
Namibia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.696,7.298,6,5.75,5.75,5.75,5.75,5.75
Nauru,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.51,8.215,1.58,2,2,2,2,2
Nepal,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.576,10.439,2.711,5.7,5.7,5.5,5.5,5.5
Netherlands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.164,0.69,1.352,1.467,1.55,1.6,1.6,1.6
New Zealand,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.084,1.336,2.409,1.964,2.015,2.015,2.015,2.015
Nicaragua,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.052,3.13,3.953,7.163,7.114,7.314,7.155,7.277
Niger,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.197,-2.418,2,2,2,2,2,2
Nigeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.554,18.546,16,15.077,14.423,14.5,14.5,14.5
Norway,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.333,3.469,1.9,2.1,2.3,2.5,2.5,2.5
Oman,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.065,1.1,3.2,3.2,3.6,3.2,3.201,3.1
Pakistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.158,3.191,3.932,5,5,5,5,5
Palau,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.816,0.413,1.5,2,2,2,2,2
Panama,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.294,1.463,2.5,2.124,2.45,2.391,2.395,2.366
Papua New Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.327,6.6,5.5,5,5,5,5,5
Paraguay,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.105,3.922,4,4,4,4,4,4
Peru,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.398,3.235,2.689,2.494,2.456,2.363,2.213,2.014
Philippines,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.495,2.595,2.872,3,3,3,3,3
Poland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.5,0.8,1.873,2.629,2.46,2.5,2.5,2.5
Portugal,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.291,0.881,2.323,2.55,1.147,0.323,0.78,0.5
Puerto Rico,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.159,0.453,1.126,0.853,0.755,0.704,0.709,0.751
Qatar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,,,,,,,
Romania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.947,-0.534,2.037,3.536,2.891,2.795,2.516,2.516
Russia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,12.91,5.367,3.969,4,4,4,4,4
Rwanda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.531,7.284,7,5,5,5,5,5
Samoa,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.37,2.251,1.4,2.4,2.6,3,3,3
San Marino,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.15,0.57,0.9,1,1.1,1.2,1.2,1.2
São Tomé and Príncipe,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.959,5.123,5.5,5,4.5,4,3.5,3
Saudi Arabia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.27,1.747,-0.155,4.961,1.986,2.199,2.091,1.995
Senegal,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.394,2.06,2.046,2.165,2.165,2.165,2.165,2.165
Serbia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.556,1.532,3.635,3,3,3,3,3
Seychelles,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.163,-0.215,3.045,3.213,3.041,3.103,3.031,2.99
Sierra Leone,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.068,17.412,12,9.5,9,8.5,8,7.5
Singapore,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.725,0.025,1.354,1.367,1.6,1.9,1.9,1.9
Slovak Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.479,0.21,1.273,1.399,1.8,2,2,2
Slovenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.449,0.511,1.679,2.015,2,2,2,2
Solomon Islands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0,3.522,-2.233,1.934,4.778,3.364,3.953,4.261
Somalia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.4,2.3,2.9,2.7,2.67,1.87,1.5,1.5
South Africa,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.281,6.724,5.2,5.4,5.5,5.5,5.5,5.5
South Sudan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,109.856,479.735,111.408,25,8.1,7.5,7.5,7.5
Spain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.017,1.57,1.164,1.383,1.571,1.783,1.843,1.895
Sri Lanka,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.571,4.463,5.056,5,5,5,5,5
St. Kitts and Nevis,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.396,0.9,1.542,1.967,1.967,1.967,1.967,1.967
St. Lucia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.606,-3.009,1.432,1.223,1.528,1.465,1.486,1.523
St. Vincent and the Grenadines,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.05,0.951,1.867,1.498,1.498,1.498,1.498,1.498
Sudan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,12.582,30.474,21,17,15,14,14,14
Suriname,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,25.1,52.4,9.071,12.274,9.881,5.899,4.229,4.044
Swaziland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.931,8.952,6.5,4.4,6.2,5,5.9,5.2
Sweden,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.741,1.731,1.8,1.5,1.8,2,2,2
Switzerland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.312,-0.016,0.618,0.817,0.9,0.95,1,1
Syria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,,,,,,,
Taiwan Province of China,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.135,1.688,1,1.4,1.5,1.8,2,2
Tajikistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.082,6.067,10.018,8.009,6,6,6,6
Tanzania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.838,5.043,5,5,5,5,5,5
Thailand,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.857,1.126,0.594,0.74,1.226,1.164,1.649,2.738
Timor-Leste,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.575,0,2.001,3.466,3.689,3.822,3.999,4
Togo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.621,0.455,,,,,,
Tonga,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.118,6.687,6.618,2.5,2.5,2.5,2.5,2.5
Trinidad and Tobago,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.586,3.122,3.167,3.213,3.692,3.296,3.254,3.246
Tunisia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.064,4.17,4.542,4.074,3.908,3.784,3.536,3.536
Turkey,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.808,8.533,10.017,9.488,8.515,7.507,7.507,7.507
Turkmenistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.005,6.165,6.129,6.227,6.227,6.227,6.227,6.227
Tuvalu,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.397,2.6,2.9,2.4,2.8,2.6,2.5,2.5
Uganda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.386,5.693,5.873,5.27,5.095,5,5,5
Ukraine,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,43.313,12.361,9.987,7.046,6.514,5.957,5.543,4.973
United Arab Emirates,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.595,1.773,2.074,2.936,2.343,2.379,2.33,1.914
United Kingdom,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.067,1.211,2.84,2.55,2.06,2.1,2,2
United States,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.739,2.192,1.781,2.34,2.692,2.189,2.294,2.236
Uruguay,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.436,8.103,6.218,6.7,6.5,6.4,6.3,6.2
Uzbekistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.427,7.892,15.669,10.652,10,10,10,10
Vanuatu,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.473,2.142,2.673,2.873,2.973,2.973,2.973,2.973
Venezuela,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,159.693,302.637,"1,133.00","2,529.63","3,599.97","4,100.00","4,600.01","4,664.63"
Vietnam,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.597,4.737,4,4,4,4,4,4
Yemen,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,18.8,22,23.037,24.037,15.037,12,9,9
Zambia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,21.112,7.5,5.8,8,8,8,8,8
Zimbabwe,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.473,-0.931,7,10,7,4,3.5,3.5
